GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2018,2018,2018,AFR,Africa,ZWE,Zimbabwe,,,,53.61458214,53.61 [33.18-75.77],33.18225113,75.77238244
MALARIA_IMPORTED,Number of imported malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-imported-malaria-cases,2024,2024,2024,AFR,Africa,ZWE,Zimbabwe,,,,614.0,614,,
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2017,2017,2017,AFR,Africa,ZWE,Zimbabwe,,,,471030.0,471 030,,
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2022,2022,2022,AFR,Africa,ZWE,Zimbabwe,,,,141076.0,141 076,,
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2016,2016,2016,AFR,Africa,ZWE,Zimbabwe,,,,66.16057787,66.16 [43.35-91.47],43.35376824,91.47365345
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2023,2023,2023,AFR,Africa,ZWE,Zimbabwe,,,,49.39604595,49.40 [29.51-70.61],29.50589926,70.61433082
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2008,2008,2008,AFR,Africa,ZWE,Zimbabwe,,,,67.50863158,67.51 [13.87-134.15],13.86529309,134.1538402
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2015,2015,2015,AFR,Africa,ZWE,Zimbabwe,,,,1693630.0,1 693 630,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2002,2002,2002,AFR,Africa,ZWE,Zimbabwe,,,,26.25511864,26.26 [4.63-74.35],4.633256231,74.3548322
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2022,2022,2022,AFR,Africa,ZWE,Zimbabwe,,,,28.90136636,28.90 [17.37-41.30],17.37074701,41.30337737
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2010,2010,2010,AFR,Africa,ZWE,Zimbabwe,,,,104.3780603,104.38 [56.77-166.06],56.77171274,166.0582092
